timestamp,method,dataset,seed,k,epochs,runtime_s,nmi,ari,q,dbi,peak_nmi,peak_ari,peak_q,peak_dbi,ram_peak_mb,vram_peak_mb,config
2026-06-11T14:51:53,louvain,cora,24,103,,0.18,0.4582,0.259,0.814,nan,,,,,434.3,nan,objective=modularity;resolution=1.0
2026-06-11T14:52:01,leiden,cora,24,103,,0.16,0.4693,0.2622,0.8209,nan,,,,,423.5,nan,objective=modularity;resolution=1.0
2026-06-11T14:52:06,leiden,cora,24,89,,0.16,0.4859,0.3543,0.7818,nan,,,,,422.1,nan,objective=modularity;resolution=0.3
2026-06-11T14:55:08,gcn-leiden,cora,24,10,300,162.26,0.5429,0.4067,0.7782,0.6794,0.5757,0.5292,0.7782,0.5371,603.1,nan,beta=0.5;hidden=512;k0=90;loss_scale=0.001;lr=0.001;prior_objective=modularity;prior_seed=123;resolution=0.3;temperature=30.0;threshold=76.62;weight_decay=0.005
2026-06-11T14:57:51,gcn-louvain,cora,24,9,300,151.83,0.5562,0.4593,0.7627,1.4253,0.5621,0.486,0.7642,0.4091,605.4,nan,beta=0.5;hidden=512;k0=89;loss_scale=0.001;lr=0.001;prior_objective=modularity;prior_seed=123;resolution=0.3;temperature=30.0;threshold=79.43;weight_decay=0.005
2026-06-11T15:03:59,deepwalk,cora,24,7,1,243.93,0.4183,0.3446,0.7156,3.7631,,,,,1658.6,nan,batch_size=8192;context_size=10;embedding_dim=128;epochs=1;implementation=native;k_source=ground_truth;lr=0.01;walk_length=80;walks_per_node=10
2026-06-11T15:04:21,dgi,cora,24,7,30,8.26,0.4581,0.3184,0.6093,3.8096,,,,,556.8,nan,epochs=30;hidden=512;k_source=ground_truth;lr=0.001;patience=20
2026-06-11T15:04:39,dmon,cora,24,7,30,4.09,0.4316,0.3655,0.6657,1.5767,,,,,515.3,nan,epochs=30;hidden=512;k_source=ground_truth;lr=0.001
2026-06-11T17:52:35,gcn-louvain,cora,24,9,300,71.86,0.5562,0.4593,0.7627,1.4253,0.5621,0.486,0.7642,0.4091,605.5,nan,beta=0.5;hidden=512;k0=89;loss_scale=0.001;lr=0.001;prior_objective=modularity;prior_seed=123;resolution=0.3;temperature=30.0;threshold=79.43;weight_decay=0.005
2026-06-11T19:13:19,deepwalk,cora,24,7,1,174.96,0.4047,0.3019,0.6811,3.6034,,,,,1563.3,nan,batch_size=8192;context_size=10;embedding_dim=128;epochs=1;implementation=native;k_source=ground_truth;lr=0.01;walk_length=80;walks_per_node=10
